Site,Coordinates ,Source for Coordinates,"Decimal Degrees Coordinates (Latitude, Longitude)",Family1,Genus1,species,subspecies,Name as described2,Distribution3 ,Lifeform/Habit4,Original plant part descriptions,Part consumed: Leaf,Part consumed: Fruit,Part consumed: Seed,Part consumed: Flower,Part consumed: Other,Part consumed: Unknown,Source for part consumed,Common name,Source for common name
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Moraceae,Streblus ,dimepate,*,Streblus dimepate,Endemic,Tree,mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Arondela ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Moraceae,Trilepisium ,madagascariense,*,Trilepisim madagascariensis (SIC),*,Tree,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Andromena ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Musaceae,Musa ,paradisiaca,*,Muca paradisiaca (SIC),Not Endemic,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Akondro ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Myrtaceae,Eugenia ,sp.,*,Eugenia sp.,Family or Genus Not Endemic to Malagasy Region,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Rojobo ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Phyllanthaceae ,Uapaca ,sp.,*,Uapaca sp.,Family or Genus Not Endemic to Malagasy Region,*,mature leaf,leaf (mature),*,*,*,*,*,Razafindramanana (2011),Voatapika ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Putranjivaceae ,Drypetes ,sp.,*,Drypetes sp.,Family or Genus Not Endemic to Malagasy Region,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Hazofotsy ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rubiaceae ,Bremeria ,erectiloba,*,Bremerie cf. erectiloba,Endemic,"Shrub, tree",ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Andovosely ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rubiaceae,Canephora ,axillaris,*,Canephra madagascariensis,Endemic,Shrub,mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Azogalala ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rubiaceae,Coptosperma ,sp.,*,Coptosperma sp.,Family or Genus Not Endemic to Malagasy Region,*,mature leaf; ripe fruit,leaf (mature),fruit (ripe),*,*,*,*,Razafindramanana (2011),Valomangoro ,Razafindramanana (2011)
Ambatotsirongorongo,"25 4.703 S, 46 47.246 E",Razafindramanana (2011),"-25.078383333333335, 46.78743333333333",Rubiaceae,Peponidium ,sp.,*,Peponidium sp.,Endemic,*,ripe fruit,*,fruit (ripe),*,*,*,*,Razafindramanana (2011),Fasikaitra ,Razafindramanana (2011)
